iter	Passed	Remaining
0	0	60
1	1	61
2	1	57
3	2	52
4	2	50
5	3	50
6	3	49
7	4	47
8	4	46
9	5	46
10	5	46
11	6	45
12	6	44
13	7	43
14	7	43
15	8	42
16	8	42
17	9	41
18	9	40
19	10	40
20	10	40
21	11	39
22	11	38
23	12	38
24	12	37
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	15	35
31	16	34
32	16	34
33	17	33
34	17	33
35	18	32
36	18	32
37	19	31
38	20	31
39	20	31
40	21	30
41	21	29
42	21	29
43	22	28
44	23	28
45	23	28
46	24	27
47	24	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	23
56	29	22
57	30	22
58	31	21
59	31	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	40	14
74	40	13
75	41	12
76	41	12
77	42	11
78	42	11
79	43	10
80	44	10
81	44	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
